Question,Option A,Option B,Option C,Option D,Answer,Explanation,Category,Difficulty
What is H₂O commonly known as?,Hydrogen Peroxide,Heavy Water,Salt Water,Water,D,H₂O is the chemical formula for water — two hydrogen atoms bonded to one oxygen atom.,Science,Easy
Who wrote the Indian national anthem?,Rabindranath Tagore,Bankim Chandra Chatterjee,Mahatma Gandhi,Sarojini Naidu,A,Jana Gana Mana was written by Rabindranath Tagore. It was officially adopted as India's national anthem on 24 January 1950.,History,Easy
What is the full form of URL?,Uniform Resource Locator,Universal Reference Link,Unified Record Locator,Unformatted Resource List,A,URL stands for Uniform Resource Locator — the address used to access resources on the internet.,Technology,Easy
Which language runs natively in web browsers?,Java,Python,JavaScript,C++,C,JavaScript is the only programming language that runs natively in web browsers and is essential for client-side web development.,Technology,Medium
What is the time complexity of bubble sort in the worst case?,O(n),O(n log n),O(n²),O(log n),C,Bubble Sort has O(n²) worst-case time complexity because it compares every pair of adjacent elements repeatedly.,Technology,Medium
What does SQL stand for?,Structured Query Language,Simple Query Language,Sequential Query Logic,Structured Question Language,A,SQL stands for Structured Query Language — used to manage and manipulate relational databases.,Technology,Medium
Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,B,Saturn has the most confirmed moons — 146 as of 2023 — surpassing Jupiter which has 95.,Science,Medium
What is photosynthesis?,Digestion of food by plants,Conversion of sunlight to chemical energy in plants,Respiration of plants at night,Absorption of water by roots,B,Photosynthesis is the process by which green plants use sunlight water and CO₂ to produce glucose and oxygen: 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂.,Science,Medium
What is the value of Pi (π) up to 2 decimal places?,3.12,3.14,3.16,3.41,B,Pi (π) ≈ 3.14159... It is an irrational number representing the ratio of a circle's circumference to its diameter.,Mathematics,Medium
Which of these is NOT a NoSQL database?,MongoDB,Cassandra,Redis,MySQL,D,MySQL is a relational (SQL) database. MongoDB Cassandra and Redis are all NoSQL databases.,Technology,Medium
Who is known as the father of computers?,Charles Babbage,Alan Turing,Bill Gates,John von Neumann,A,Charles Babbage is known as the Father of Computers. He designed the Analytical Engine in the 1830s — a mechanical general-purpose computer.,History,Medium
What does DNS stand for?,Data Network Service,Domain Name System,Digital Node Server,Distributed Name Service,B,DNS (Domain Name System) translates human-readable domain names like google.com into IP addresses that computers use.,Technology,Medium
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi Apparatus,C,Mitochondria are called the powerhouse of the cell because they produce ATP (adenosine triphosphate) through cellular respiration.,Science,Medium
What is the output of 2 ** 10 in Python?,20,100,512,1024,D,In Python ** is the exponentiation operator. 2 ** 10 = 2^10 = 1024.,Technology,Medium
Who proposed the Theory of Relativity?,Isaac Newton,Niels Bohr,Albert Einstein,Max Planck,C,Albert Einstein proposed the Special Theory of Relativity in 1905 and the General Theory of Relativity in 1915 with the famous equation E = mc².,Science,Medium
What is an IP address?,A website password,A physical cable address,A unique numerical label for network devices,A type of processor,C,An IP address (Internet Protocol address) is a unique string of numbers assigned to each device connected to a network for identification and communication.,Technology,Medium
In which state is the Taj Mahal located?,Delhi,Gujarat,Uttar Pradesh,Rajasthan,C,The Taj Mahal is located in Agra Uttar Pradesh India. It was built by Mughal emperor Shah Jahan in memory of his wife Mumtaz Mahal.,History,Easy
What is the largest country by area?,Russia,Canada,USA,China,A,Russia is the largest country in the world by area covering approximately 17.1 million km² — about 11% of Earth's total land area.,Geography,Easy
What is the binary representation of decimal 10?,1010,1100,1001,0110,A,Decimal 10 in binary is 1010. (1×8 + 0×4 + 1×2 + 0×1 = 10).,Technology,Hard
Which sorting algorithm is considered the fastest in average case?,Bubble Sort,Selection Sort,Quick Sort,Insertion Sort,C,Quick Sort has an average time complexity of O(n log n) making it one of the fastest sorting algorithms in practice despite its O(n²) worst case.,Technology,Hard
What is a deadlock in operating systems?,When CPU overheats,When two processes wait for each other indefinitely,When memory is full,When a program crashes,B,A deadlock occurs when two or more processes are each waiting for the other to release a resource — resulting in all of them being stuck forever.,Technology,Hard
What is the Doppler Effect?,Change in wave frequency due to relative motion,Bending of light through a prism,Reflection of sound waves,Interference of two sound waves,A,The Doppler Effect is the change in frequency of a wave (sound or light) as the source and observer move relative to each other. This explains why a siren sounds higher as it approaches.,Science,Hard
What is normalization in databases?,Encrypting database tables,Organizing data to reduce redundancy,Backing up database files,Increasing query speed by indexing,B,Database normalization is the process of organizing data into tables to reduce redundancy and improve data integrity — achieved through Normal Forms (1NF 2NF 3NF etc.).,Technology,Hard
What does ACID stand for in databases?,Automated Consistent Integrated Database,Atomicity Consistency Isolation Durability,Advanced Controlled Indexed Data,Atomicity Compression Isolation Design,B,ACID stands for Atomicity Consistency Isolation Durability — four properties that guarantee reliable processing of database transactions.,Technology,Hard
What is the speed of light in vacuum?,3 × 10^6 m/s,3 × 10^8 m/s,3 × 10^10 m/s,3 × 10^12 m/s,B,The speed of light in vacuum is approximately 3 × 10^8 meters per second (299792458 m/s). This is denoted by 'c' in physics.,Science,Hard
What is Big O notation used for?,Writing large numbers in maths,Describing algorithm time and space complexity,Measuring file sizes,Ranking search results,B,Big O notation describes the upper bound of an algorithm's time or space complexity as input size grows — helping compare algorithm efficiency.,Technology,Hard
What is a REST API?,A sleeping server,A type of database,An architectural style for distributed systems using HTTP,A JavaScript framework,C,REST (Representational State Transfer) is an architectural style for designing networked applications using standard HTTP methods like GET POST PUT DELETE.,Technology,Hard
Who was the first President of India?,Jawaharlal Nehru,Sardar Patel,Dr. Rajendra Prasad,Dr. B.R. Ambedkar,C,Dr. Rajendra Prasad was the first President of India serving from 1950 to 1962. He was the only president to serve two full terms.,History,Medium
